flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-05-02,active,"{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'D', 'gate': '2', 'delay': None, 'scheduled': '2025-05-02T08:25:00+00:00', 'estimated': '2025-05-02T08:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Rockhampton', 'timezone': 'Australia/Brisbane', 'iata': 'ROK', 'icao': 'YBRK', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T09:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'QantasLink', 'iata': None, 'icao': 'QLK'}","{'number': '2360', 'iata': None, 'icao': 'QLK2360', 'codeshared': None}",,
2025-05-02,active,"{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T08:15:00+00:00', 'estimated': '2025-05-02T08:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kingaroy', 'timezone': 'Australia/Brisbane', 'iata': 'KGY', 'icao': 'YKRY', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T08:38:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Thai AirAsia', 'iata': 'FD', 'icao': 'AIQ'}","{'number': '416', 'iata': 'FD416', 'icao': 'AIQ416', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Halle', 'timezone': 'Europe/Berlin', 'iata': 'LEJ', 'icao': 'EDDP', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T04:35:00+00:00', 'estimated': '2025-05-02T04:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Henri Coanda International', 'timezone': 'Europe/Bucharest', 'iata': 'OTP', 'icao': 'LROP', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T07:35:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'DHL Air', 'iata': 'D0', 'icao': 'DHK'}","{'number': '5706', 'iata': 'D05706', 'icao': 'DHK5706', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Kidjang', 'timezone': 'Asia/Jakarta', 'iata': 'TNJ', 'icao': 'WIDN', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T11:45:00+00:00', 'estimated': '2025-05-02T11:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Soekarno-Hatta International', 'timezone': 'Asia/Jakarta', 'iata': 'CGK', 'icao': 'WIII', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T13:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Batik Air', 'iata': 'ID', 'icao': 'BTK'}","{'number': '6825', 'iata': 'ID6825', 'icao': 'BTK6825', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Fuzhou', 'timezone': 'Asia/Shanghai', 'iata': 'FOC', 'icao': 'ZSFZ', 'terminal': None, 'gate': '33', 'delay': None, 'scheduled': '2025-05-02T08:35:00+00:00', 'estimated': '2025-05-02T08:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': '1', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T12:20:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Japan Airlines', 'iata': 'JL', 'icao': 'JTL'}","{'number': '5056', 'iata': 'JL5056', 'icao': 'JTL5056', 'codeshared': {'airline_name': 'xiamen airlines', 'airline_iata': 'mf', 'airline_icao': 'cxa', 'flight_number': '835', 'flight_iata': 'mf835', 'flight_icao': 'cxa835'}}",,
2025-05-02,active,"{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '1', 'gate': None, 'delay': 12, 'scheduled': '2025-05-02T05:00:00+00:00', 'estimated': '2025-05-02T05:00:00+00:00', 'actual': '2025-05-02T05:12:00+00:00', 'estimated_runway': '2025-05-02T05:12:00+00:00', 'actual_runway': '2025-05-02T05:12:00+00:00'}","{'airport': 'Noibai International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'HAN', 'icao': 'VVNB', 'terminal': 'T1', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T07:10:00+00:00', 'delay': None, 'estimated': '2025-05-02T06:57:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Freebird Airlines', 'iata': 'FH', 'icao': 'FHY'}","{'number': '1198', 'iata': 'FH1198', 'icao': 'FHY1198', 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Noibai International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'HAN', 'icao': 'VVNB', 'terminal': 'T1', 'gate': None, 'delay': None, 'scheduled': '2025-05-02T09:00:00+00:00', 'estimated': '2025-05-02T09:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '3', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T11:10:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Cambodia Angkor Air', 'iata': 'K6', 'icao': 'KHV'}","{'number': '3209', 'iata': 'K63209', 'icao': 'KHV3209', 'codeshared': {'airline_name': 'vietnam airlines', 'airline_iata': 'vn', 'airline_icao': 'hvn', 'flight_number': '209', 'flight_iata': 'vn209', 'flight_icao': 'hvn209'}}",,
2025-05-02,scheduled,"{'airport': 'Noibai International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'HAN', 'icao': 'VVNB', 'terminal': 'T1', 'gate': None, 'delay': None, 'scheduled': '2025-05-02T09:00:00+00:00', 'estimated': '2025-05-02T09:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '3', 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T11:10:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air France', 'iata': 'AF', 'icao': 'AFR'}","{'number': '3304', 'iata': 'AF3304', 'icao': 'AFR3304', 'codeshared': {'airline_name': 'vietnam airlines', 'airline_iata': 'vn', 'airline_icao': 'hvn', 'flight_number': '209', 'flight_iata': 'vn209', 'flight_icao': 'hvn209'}}",,
2025-05-02,scheduled,"{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T09:15:00+00:00', 'estimated': '2025-05-02T09:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Tamworth Regional Airport', 'timezone': 'Australia/Sydney', 'iata': 'TMW', 'icao': 'YSTW', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T09:51:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'empty', 'iata': None, 'icao': None}","{'number': None, 'iata': None, 'icao': None, 'codeshared': None}",,
2025-05-02,scheduled,"{'airport': 'Tamworth Regional Airport', 'timezone': 'Australia/Sydney', 'iata': 'TMW', 'icao': 'YSTW', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-05-02T11:00:00+00:00', 'estimated': '2025-05-02T11:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-05-02T11:34:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'empty', 'iata': None, 'icao': None}","{'number': None, 'iata': None, 'icao': None, 'codeshared': None}",,
